epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,287.246,0.4588,8.82312,0,0.31513,0.97475,1,0.98832,0.99489,0.95016,0,0,0,0,0.32364,7.12186,0,0.20144,0.80913,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892
25,298.003,0.44908,8.73703,0,0.31751,0.96609,0.99118,1,0.99494,0.95688,0,0,0,0,0.31385,7.00656,0,0.19356,0.8021,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496
26,308.826,0.44629,8.58454,0,0.30235,0.96523,0.99381,1,0.99456,0.95866,0.00587,0.00556,0.00122,0.00012,0.31492,6.98608,0,0.18817,0.80008,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
27,319.807,0.44894,8.48089,0,0.30527,0.96992,0.99447,0.99902,0.99494,0.95761,0,0,0,0,0.31301,6.7544,0,0.19708,0.8035,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704
28,330.725,0.4506,8.48959,0,0.31179,0.97179,0.99423,1,0.99478,0.95449,0,0,0,0,0.31564,6.81526,0,0.18071,0.8046,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308
29,341.625,0.44098,8.35091,0,0.30019,0.95926,0.99425,1,0.99494,0.95225,0.00577,0.00556,0.00131,0.00013,0.32086,6.64848,0,0.18728,0.80767,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912
30,352.765,0.43518,8.25673,0,0.30288,0.96332,0.98867,1,0.99494,0.95749,0.00564,0.00556,0.00088,9e-05,0.3049,6.5648,0,0.187,0.79515,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516
31,363.893,0.42651,8.20884,0,0.29799,0.9549,0.99394,1,0.99494,0.95349,0.02282,0.02222,0.00411,0.00041,0.32703,6.25576,0,0.1942,0.80432,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
32,374.358,0.42268,8.0876,0,0.29451,0.95818,0.99358,1,0.99494,0.96287,0.02832,0.02778,0.00832,0.00083,0.30788,6.15845,0,0.17892,0.79378,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724
33,385.002,0.4264,7.96177,0,0.29332,0.96328,0.99691,0.99444,0.995,0.96262,0.1473,0.14444,0.06698,0.0067,0.3062,5.98281,0,0.17826,0.79585,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328
34,395.859,0.43321,7.93007,0,0.29687,0.95559,0.99924,0.99444,0.995,0.96124,0.12083,0.11667,0.06163,0.00616,0.30454,5.97834,0,0.18687,0.79772,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932
35,406.694,0.43159,7.91209,0,0.29815,0.96071,0.994,1,0.99439,0.9628,0.06776,0.06667,0.0195,0.00195,0.30795,6.08453,0,0.18507,0.80667,0.00559608,0.00186536,0.00559608,0.00186536,0.00559608,0.00186536,0.00559608,0.00186536
36,417.554,0.41615,7.79645,0,0.28551,0.95859,1,0.99266,0.995,0.95493,0.03929,0.03889,0.01529,0.00167,0.3009,6.02104,0,0.17852,0.79433,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
37,428.657,0.43432,7.79134,0,0.2926,0.95332,0.99876,1,0.995,0.96307,0.16262,0.16111,0.06884,0.00702,0.30679,5.75386,0,0.18147,0.79879,0.00557232,0.00185744,0.00557232,0.00185744,0.00557232,0.00185744,0.00557232,0.00185744
38,441.502,0.42279,7.62836,0,0.28511,0.95683,0.99939,0.99444,0.995,0.9627,0.18529,0.18333,0.09432,0.00984,0.29574,5.78654,0,0.18346,0.79657,0.00556044,0.00185348,0.00556044,0.00185348,0.00556044,0.00185348,0.00556044,0.00185348
39,452.999,0.42477,7.64295,0,0.28322,0.95929,0.99597,0.99444,0.995,0.96123,0.41392,0.41111,0.32437,0.03546,0.30108,5.58253,0,0.17858,0.78897,0.00554856,0.00184952,0.00554856,0.00184952,0.00554856,0.00184952,0.00554856,0.00184952
40,464.089,0.42211,7.6667,0,0.28933,0.95526,0.99946,0.99444,0.995,0.96401,0.34215,0.33889,0.24914,0.02724,0.29139,5.58511,0,0.16608,0.79137,0.00553668,0.00184556,0.00553668,0.00184556,0.00553668,0.00184556,0.00553668,0.00184556
41,475.021,0.42683,7.47986,0,0.28507,0.95739,0.99942,0.99444,0.995,0.96029,0.32722,0.31667,0.22993,0.02658,0.30112,5.56071,0,0.17234,0.79682,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
42,485.99,0.41655,7.50224,0,0.28952,0.94806,0.99929,0.99444,0.995,0.9683,0.20336,0.2,0.10128,0.01116,0.28619,5.68261,0,0.17696,0.78805,0.00551292,0.00183764,0.00551292,0.00183764,0.00551292,0.00183764,0.00551292,0.00183764
43,497.015,0.41736,7.42614,0,0.28367,0.95083,0.99447,0.9994,0.99494,0.96046,0.41721,0.41111,0.32115,0.03681,0.30016,5.40243,0,0.17363,0.79649,0.00550104,0.00183368,0.00550104,0.00183368,0.00550104,0.00183368,0.00550104,0.00183368
44,507.643,0.41062,7.30176,0,0.28232,0.95005,0.98871,1,0.99494,0.95935,0.46004,0.45,0.38338,0.04604,0.30208,5.24653,0,0.17274,0.79615,0.00548916,0.00182972,0.00548916,0.00182972,0.00548916,0.00182972,0.00548916,0.00182972
45,518.629,0.40804,7.287,0,0.27899,0.95136,0.99255,0.99444,0.99478,0.95964,0.43788,0.43333,0.31,0.03744,0.3012,5.25978,0,0.18307,0.80044,0.00547728,0.00182576,0.00547728,0.00182576,0.00547728,0.00182576,0.00547728,0.00182576
46,529.216,0.40984,7.21226,0,0.27413,0.94798,0.99336,1,0.99478,0.96806,0.40774,0.40556,0.3104,0.03656,0.2835,5.3287,0,0.16793,0.79265,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
47,539.86,0.40513,7.07663,0,0.27939,0.95092,0.9879,1,0.99489,0.96247,0.53002,0.52222,0.4382,0.05881,0.2955,5.28486,0,0.17964,0.80029,0.00545352,0.00181784,0.00545352,0.00181784,0.00545352,0.00181784,0.00545352,0.00181784
48,551.001,0.41232,7.1938,0,0.27353,0.96138,0.98813,0.99444,0.99483,0.96028,0.54739,0.54444,0.44975,0.05822,0.29547,5.31281,0,0.18848,0.79371,0.00544164,0.00181388,0.00544164,0.00181388,0.00544164,0.00181388,0.00544164,0.00181388
49,561.895,0.41194,7.21993,0,0.28292,0.95499,0.9959,0.99444,0.995,0.96705,0.54005,0.53333,0.46671,0.06053,0.29127,5.3093,0,0.19029,0.79883,0.00542976,0.00180992,0.00542976,0.00180992,0.00542976,0.00180992,0.00542976,0.00180992
50,572.158,0.40127,7.11082,0,0.27764,0.94634,0.99953,0.99444,0.995,0.95652,0.6652,0.65,0.56363,0.07253,0.30028,5.14767,0,0.19133,0.79846,0.00541788,0.00180596,0.00541788,0.00180596,0.00541788,0.00180596,0.00541788,0.00180596
51,583.814,0.39492,7.07797,0,0.26751,0.94353,0.98239,0.98889,0.99439,0.96687,0.44244,0.43333,0.30141,0.03648,0.27867,5.17131,0,0.19774,0.78658,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
52,594.417,0.40411,7.00632,0,0.27349,0.94249,0.98735,0.99444,0.99461,0.96384,0.62156,0.60556,0.56598,0.08229,0.28836,5.07119,0,0.17758,0.79358,0.00539412,0.00179804,0.00539412,0.00179804,0.00539412,0.00179804,0.00539412,0.00179804
53,605.285,0.40975,7.06139,0,0.27384,0.95271,0.99364,0.99444,0.99478,0.96831,0.56924,0.56111,0.47114,0.06831,0.28866,5.05895,0,0.17803,0.78847,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408
54,616.12,0.40399,6.98624,0,0.28125,0.95026,0.99925,0.99444,0.995,0.95876,0.71192,0.7,0.63278,0.08705,0.28431,4.92008,0,0.17112,0.7911,0.00537036,0.00179012,0.00537036,0.00179012,0.00537036,0.00179012,0.00537036,0.00179012
55,627.296,0.40917,6.96427,0,0.28097,0.94613,0.99776,0.99444,0.995,0.96708,0.72835,0.71111,0.65527,0.09926,0.28732,4.87864,0,0.17518,0.78623,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616
56,639.936,0.39403,6.89122,0,0.26954,0.9465,0.99428,1,0.995,0.96458,0.63571,0.63333,0.5182,0.06906,0.30071,4.98267,0,0.16602,0.79501,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
57,651.196,0.4063,6.87594,0,0.27816,0.95668,0.98835,1,0.99489,0.96003,0.71344,0.70556,0.6202,0.09438,0.31141,4.8142,0,0.17341,0.80213,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824
58,662.48,0.41727,6.8811,0,0.28202,0.95777,0.99958,1,0.995,0.96525,0.73527,0.72778,0.66852,0.09233,0.29945,4.8107,0,0.16905,0.80068,0.00532284,0.00177428,0.00532284,0.00177428,0.00532284,0.00177428,0.00532284,0.00177428
59,673.417,0.39423,6.72712,0,0.26862,0.94073,0.98867,1,0.99483,0.96229,0.75545,0.74444,0.67883,0.10728,0.29311,4.79345,0,0.17856,0.79279,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032
60,684.302,0.39551,6.71464,0,0.27091,0.9425,0.99382,1,0.99494,0.96403,0.73536,0.72222,0.62692,0.09692,0.29414,4.85893,0,0.1721,0.79797,0.00529908,0.00176636,0.00529908,0.00176636,0.00529908,0.00176636,0.00529908,0.00176636
61,695.302,0.40523,6.66288,0,0.27332,0.94712,0.98337,1,0.99472,0.96565,0.74708,0.73333,0.68772,0.10692,0.28832,4.76059,0,0.17781,0.78698,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
62,705.919,0.39358,6.66833,0,0.26679,0.94464,0.99413,1,0.99489,0.96776,0.71842,0.71111,0.63955,0.09528,0.27843,4.75176,0,0.16582,0.78309,0.00527532,0.00175844,0.00527532,0.00175844,0.00527532,0.00175844,0.00527532,0.00175844
63,717.287,0.39941,6.74018,0,0.26856,0.94632,0.99404,1,0.99483,0.96192,0.74503,0.74444,0.66311,0.09976,0.28904,4.72887,0,0.17038,0.79206,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448
64,729.143,0.38444,6.57179,0,0.27308,0.93637,0.99402,1,0.99439,0.96407,0.70446,0.7,0.62584,0.09083,0.27949,4.81615,0,0.1715,0.78764,0.00525156,0.00175052,0.00525156,0.00175052,0.00525156,0.00175052,0.00525156,0.00175052
65,740.097,0.40097,6.55128,0,0.27693,0.95039,0.99442,1,0.99494,0.9672,0.76334,0.75556,0.6531,0.10107,0.27814,4.66534,0,0.16873,0.78286,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656
66,750.684,0.40532,6.5577,0,0.26787,0.95461,0.99928,0.98889,0.99484,0.96703,0.7803,0.76111,0.70024,0.10833,0.29095,4.66829,0,0.17467,0.79296,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
67,761.539,0.39171,6.53475,0,0.26873,0.94086,0.98295,1,0.99398,0.96405,0.81953,0.83333,0.8108,0.12314,0.27981,4.59981,0,0.17828,0.78614,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864
68,772.357,0.40165,6.55968,0,0.27952,0.94672,0.98657,1,0.99472,0.96402,0.7458,0.74444,0.67324,0.10038,0.29037,4.66092,0,0.17741,0.78626,0.00520404,0.00173468,0.00520404,0.00173468,0.00520404,0.00173468,0.00520404,0.00173468
69,782.907,0.38907,6.43103,0,0.26986,0.93681,0.98249,1,0.99376,0.96171,0.77076,0.77222,0.69665,0.11615,0.28901,4.55421,0,0.17683,0.78966,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072
70,793.936,0.3888,6.39182,0,0.26664,0.93582,0.99447,0.99962,0.99489,0.9677,0.81054,0.80556,0.75996,0.13204,0.27516,4.52322,0,0.17233,0.77936,0.00518028,0.00172676,0.00518028,0.00172676,0.00518028,0.00172676,0.00518028,0.00172676
71,805.23,0.38307,6.34754,0,0.27662,0.94462,0.98508,1,0.99483,0.96368,0.8269,0.81111,0.78827,0.13076,0.28057,4.5072,0,0.17351,0.78436,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
72,816.003,0.38571,6.42932,0,0.27203,0.94055,0.99133,1,0.995,0.9652,0.81017,0.80556,0.76007,0.1199,0.27864,4.49407,0,0.16926,0.78613,0.00515652,0.00171884,0.00515652,0.00171884,0.00515652,0.00171884,0.00515652,0.00171884
73,826.802,0.39188,6.30809,0,0.26208,0.94055,0.98875,1,0.99483,0.96736,0.7385,0.73889,0.68363,0.1084,0.27991,4.60115,0,0.16496,0.78494,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488
74,837.369,0.37807,6.348,0,0.26417,0.93804,0.99407,1,0.99494,0.96835,0.79779,0.78333,0.75816,0.12222,0.27371,4.50084,0,0.15661,0.78182,0.00513276,0.00171092,0.00513276,0.00171092,0.00513276,0.00171092,0.00513276,0.00171092
75,848.289,0.38735,6.30991,0,0.26463,0.9466,0.99988,1,0.995,0.9712,0.85323,0.85,0.83816,0.14524,0.274,4.45799,0,0.15414,0.77842,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696
