epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
25,150,0.47216,10.0169,0,0.31312,0.96952,0.99013,1,0.995,0.94275,0,0,0,0,0.36465,8.68323,0,0.22231,0.87041,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,155.591,0.44215,10.0106,0,0.30148,0.97212,0.96546,1,0.99468,0.9419,0,0,0,0,0.36595,8.57183,0,0.23101,0.86266,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,160.868,0.44478,9.89469,0,0.30384,0.96722,0.96709,1,0.99468,0.93533,0,0,0,0,0.37425,8.51334,0,0.23334,0.85994,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,166.449,0.44054,9.80329,0,0.30767,0.95554,0.96682,1,0.99468,0.93795,0,0,0,0,0.3833,8.3901,0,0.233,0.87708,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,171.724,0.46496,9.71283,0,0.31404,0.98121,0.96723,1,0.99434,0.94217,0,0,0,0,0.34194,8.446,0,0.22563,0.84744,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,177.227,0.43811,9.62935,0,0.29593,0.96768,0.96752,1,0.99484,0.93396,0,0,0,0,0.35383,8.38844,0,0.22372,0.86585,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,182.576,0.43386,9.55203,0,0.30067,0.96025,0.9905,0.98333,0.99468,0.93847,0,0,0,0,0.35943,8.25819,0,0.20654,0.87809,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,188.13,0.44996,9.56603,0,0.31409,0.97401,0.98354,0.99592,0.99484,0.92753,0,0,0,0,0.38055,8.16307,0,0.20546,0.89455,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,193.44,0.43051,9.5669,0,0.30486,0.95219,0.98359,0.99899,0.99484,0.92787,0,0,0,0,0.37335,8.25916,0,0.20851,0.8831,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,198.962,0.42742,9.4281,0,0.29567,0.9559,0.9664,1,0.99468,0.9375,0,0,0,0,0.35088,7.99052,0,0.2202,0.86534,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,204.225,0.41257,9.34501,0,0.2875,0.9545,0.98244,0.98333,0.99452,0.93496,0,0,0,0,0.36938,8.28112,0,0.21278,0.88652,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,209.776,0.42979,9.35455,0,0.28963,0.95462,0.96774,0.99984,0.99468,0.92948,0,0,0,0,0.37637,7.9019,0,0.22882,0.8787,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,215.098,0.41996,9.31331,0,0.30291,0.95522,0.96773,0.99977,0.99468,0.938,0,0,0,0,0.37197,8.02309,0,0.22339,0.88903,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,220.573,0.38946,9.08294,0,0.27321,0.93755,0.96701,1,0.99468,0.94626,0,0,0,0,0.35216,7.96349,0,0.22024,0.87322,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
