epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.3931,2.19763,11.899,0,2.72479,2.60954,0.27593,0.55,0.29079,0.07163,0,0,0,0,1.68858,11.9009,0,2.55631,2.21801,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,20.365,1.24798,11.9035,0,1.21587,1.60615,0.91343,0.98333,0.96327,0.7316,0,0,0,0,0.94219,11.8809,0,0.57474,1.34675,0.00353299,0.00117766,0.00353299,0.00117766,0.00353299,0.00117766,0.00353299,0.00117766
3,26.5487,0.90653,11.893,0,0.69711,1.23912,0.92082,1,0.97316,0.78557,0,0,0,0,0.79963,11.8517,0,0.51125,1.17384,0.00531885,0.00177295,0.00531885,0.00177295,0.00531885,0.00177295,0.00531885,0.00177295
4,32.3984,0.79732,11.8727,0,0.56562,1.13371,0.92919,1,0.9737,0.82532,0,0,0,0,0.64573,11.8118,0,0.38877,1.06541,0.00596436,0.00198812,0.00596436,0.00198812,0.00596436,0.00198812,0.00596436,0.00198812
5,38.0499,0.72119,11.7823,0,0.50395,1.0912,0.96358,1,0.98632,0.85667,0,0,0,0,0.54653,11.765,0,0.36348,1.00213,0.00595248,0.00198416,0.00595248,0.00198416,0.00595248,0.00198416,0.00595248,0.00198416
6,43.8618,0.66498,11.7728,0,0.46037,1.06173,0.96558,1,0.99401,0.87061,0,0,0,0,0.58335,11.6628,0,0.32871,0.98951,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802
7,49.5017,0.6201,11.7412,0,0.43088,1.05106,0.98111,1,0.99484,0.89286,0,0,0,0,0.50644,11.5407,0,0.26452,0.96286,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624
8,55.9125,0.60916,11.7009,0,0.43622,1.04971,0.96488,1,0.99468,0.88438,0,0,0,0,0.52125,11.3137,0,0.30968,0.97679,0.00591684,0.00197228,0.00591684,0.00197228,0.00591684,0.00197228,0.00591684,0.00197228
9,61.5278,0.58781,11.5954,0,0.40897,1.0326,0.98182,1,0.99484,0.88916,0,0,0,0,0.43255,11.1144,0,0.28696,0.91037,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832
10,67.292,0.60318,11.4643,0,0.42288,1.02632,0.98038,1,0.995,0.8742,0,0,0,0,0.51991,10.8266,0,0.29511,0.96646,0.00589308,0.00196436,0.00589308,0.00196436,0.00589308,0.00196436,0.00589308,0.00196436
11,72.7073,0.56051,11.2912,0,0.37807,1.02162,0.97217,1,0.995,0.89947,0,0,0,0,0.44712,11.0438,0,0.2828,0.90912,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
12,78.5479,0.55954,11.2336,0,0.39942,1.02263,0.97991,1,0.995,0.89912,0,0,0,0,0.46736,10.6089,0,0.28356,0.91948,0.00586932,0.00195644,0.00586932,0.00195644,0.00586932,0.00195644,0.00586932,0.00195644
13,84.2137,0.53538,11.1453,0,0.3873,1.02003,0.97706,1,0.99451,0.9061,0,0,0,0,0.46522,10.508,0,0.25512,0.93124,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248
14,89.9462,0.52103,11.0088,0,0.38031,0.9939,0.98357,0.99773,0.99418,0.92558,0,0,0,0,0.40617,10.4428,0,0.2646,0.88569,0.00584556,0.00194852,0.00584556,0.00194852,0.00584556,0.00194852,0.00584556,0.00194852
15,95.4639,0.51573,10.9654,0,0.36168,0.99838,0.98357,0.99749,0.99484,0.93568,0,0,0,0,0.40396,10.2555,0,0.24145,0.89305,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456
16,101.264,0.54051,10.8678,0,0.3833,0.99683,0.97964,1,0.995,0.91998,0,0,0,0,0.3981,10.0475,0,0.23435,0.90117,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
17,106.737,0.52326,10.702,0,0.3622,1.00412,0.98414,1,0.995,0.93784,0,0,0,0,0.38852,10.0404,0,0.23538,0.89724,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664
18,112.604,0.50724,10.6123,0,0.3444,0.98237,0.98147,1,0.995,0.93371,0,0,0,0,0.37727,9.64021,0,0.24021,0.86972,0.00579804,0.00193268,0.00579804,0.00193268,0.00579804,0.00193268,0.00579804,0.00193268
19,118.078,0.50013,10.5585,0,0.35514,0.98855,0.96657,1,0.995,0.93018,0,0,0,0,0.36293,9.44403,0,0.24993,0.85838,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872
20,124.078,0.50018,10.4594,0,0.34914,0.98403,0.96449,1,0.99403,0.92034,0,0,0,0,0.40018,9.34377,0,0.26716,0.88784,0.00577428,0.00192476,0.00577428,0.00192476,0.00577428,0.00192476,0.00577428,0.00192476
21,129.391,0.45799,10.3352,0,0.33685,0.97074,0.96514,1,0.99434,0.93142,0,0,0,0,0.39239,9.23439,0,0.25546,0.88802,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
22,135.047,0.49139,10.2691,0,0.34252,0.98168,0.95235,1,0.99403,0.93911,0,0,0,0,0.37018,8.94997,0,0.23327,0.87459,0.00575052,0.00191684,0.00575052,0.00191684,0.00575052,0.00191684,0.00575052,0.00191684
23,140.607,0.44884,10.1001,0,0.31283,0.9609,0.96764,0.99694,0.99403,0.93034,0,0,0,0,0.38731,8.97215,0,0.24706,0.88963,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288
24,146.315,0.46228,10.1119,0,0.33134,0.9847,0.95875,1,0.99369,0.93293,0,0,0,0,0.37916,9.02114,0,0.24684,0.88526,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892,0.00572676,0.00190892
25,151.805,0.4592,10.0104,0,0.31733,0.96913,0.96537,1,0.99434,0.93392,0,0,0,0,0.36578,8.59714,0,0.22822,0.86263,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496
26,157.693,0.44244,9.99536,0,0.30606,0.97166,0.98725,0.98333,0.99452,0.93288,0,0,0,0,0.38103,8.57667,0,0.22151,0.88271,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
27,163.329,0.4377,9.87326,0,0.32023,0.96738,0.9677,0.99877,0.99403,0.93834,0,0,0,0,0.36285,8.61696,0,0.22206,0.86031,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704
28,169.183,0.4476,9.76546,0,0.31383,0.95516,0.96767,0.99789,0.99401,0.9397,0,0,0,0,0.3595,8.60986,0,0.22494,0.86651,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308,0.00567924,0.00189308
29,174.967,0.46482,9.68163,0,0.31622,0.98419,0.95234,0.99917,0.99336,0.94889,0,0,0,0,0.36136,8.32392,0,0.23511,0.86828,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912
30,181.23,0.45407,9.55941,0,0.30657,0.97526,0.96602,0.98333,0.99268,0.93438,0,0,0,0,0.37242,8.19956,0,0.23762,0.88391,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516,0.00565548,0.00188516
31,186.91,0.44725,9.56588,0,0.31053,0.96373,0.98315,0.98333,0.99369,0.95409,0,0,0,0,0.35508,8.16162,0,0.22323,0.86136,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
32,192.969,0.44398,9.53473,0,0.32352,0.96985,0.96632,1,0.99434,0.94037,0,0,0,0,0.35732,8.05687,0,0.21522,0.8675,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724,0.00563172,0.00187724
33,199.463,0.42814,9.53987,0,0.30944,0.95273,0.98327,0.96667,0.99341,0.9441,0,0,0,0,0.37056,8.39407,0,0.24335,0.87428,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328,0.00561984,0.00187328
34,205.681,0.43845,9.42303,0,0.29771,0.95954,0.96769,0.99841,0.99352,0.93907,0,0,0,0,0.37113,8.07092,0,0.2387,0.87673,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932,0.00560796,0.00186932
35,211.25,0.43054,9.30666,0,0.29313,0.96119,0.96707,1,0.99434,0.92711,0,0,0,0,0.39496,8.03827,0,0.24017,0.89593,0.00559608,0.00186536,0.00559608,0.00186536,0.00559608,0.00186536,0.00559608,0.00186536
36,217.11,0.42819,9.31332,0,0.29372,0.95472,0.98104,1,0.99402,0.93321,0,0,0,0,0.37264,7.79106,0,0.22614,0.89889,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
37,222.765,0.42839,9.32229,0,0.30863,0.95791,0.97016,1,0.99156,0.92965,0,0,0,0,0.37563,8.0288,0,0.23774,0.90363,0.00557232,0.00185744,0.00557232,0.00185744,0.00557232,0.00185744,0.00557232,0.00185744
