epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7465,0.29233,2.80085,0,0.20295,0.85235,0.99964,1,0.995,0.95524,0.96598,0.94662,0.95873,0.36182,0.3224,2.82289,0,0.17958,0.81546,0.000655556,0.000655556,0.000655556
2,66.5627,0.29944,2.9028,0,0.18942,0.85684,1,0.99923,0.995,0.96383,0.97957,0.95556,0.97195,0.35032,0.31414,2.93974,0,0.18548,0.80932,0.00119132,0.00119132,0.00119132
3,95.7882,0.30087,3.0865,0,0.19157,0.86254,0.99339,1,0.995,0.95381,0.9199,0.92222,0.92042,0.2923,0.32725,3.10006,0,0.20285,0.81191,0.00159509,0.00159509,0.00159509
