epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
206,16.2598,0.32541,4.57726,0,0.21717,0.91197,0.99912,1,0.995,0.9719,0.97136,0.97222,0.97803,0.37411,0.25231,2.94843,0,0.13505,0.77237,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
207,31.4621,0.33845,4.70336,0,0.22735,0.91671,1,0.99891,0.995,0.97273,0.98827,0.98333,0.98766,0.37888,0.24657,2.90599,0,0.13747,0.7698,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424,0.00355272,0.00118424
208,43.1983,0.31688,4.56403,0,0.22545,0.90982,0.99962,1,0.995,0.97261,0.98131,0.97778,0.98215,0.37178,0.24427,2.89273,0,0.1345,0.77249,0.00354084,0.00118028,0.00354084,0.00118028,0.00354084,0.00118028,0.00354084,0.00118028
209,58.3242,0.32092,4.54554,0,0.2221,0.90758,0.98826,1,0.99489,0.97346,0.96679,0.97024,0.97916,0.38947,0.2442,2.8221,0,0.14268,0.76607,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632,0.00352896,0.00117632
210,73.4888,0.31865,4.53981,0,0.21982,0.90782,0.99853,0.99444,0.995,0.97571,0.97622,0.97222,0.9787,0.36894,0.23811,2.9062,0,0.1374,0.76404,0.00351708,0.00117236,0.00351708,0.00117236,0.00351708,0.00117236,0.00351708,0.00117236
211,86.7501,0.31868,4.4905,0,0.21164,0.91579,0.99902,0.99444,0.995,0.97503,0.98228,0.97778,0.98229,0.38814,0.23934,2.8758,0,0.13894,0.76339,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
212,97.9498,0.31333,4.5384,0,0.21675,0.90957,0.99352,1,0.995,0.97154,0.95565,0.95774,0.96557,0.37106,0.2394,2.89113,0,0.13941,0.7607,0.00349332,0.00116444,0.00349332,0.00116444,0.00349332,0.00116444,0.00349332,0.00116444
213,108.766,0.34365,4.74899,0,0.22886,0.92928,0.98885,1,0.99489,0.97391,0.96534,0.96667,0.97236,0.37573,0.24686,2.86782,0,0.14164,0.76458,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048,0.00348144,0.00116048
214,119.611,0.33566,4.63873,0,0.23087,0.92101,0.99861,0.99444,0.995,0.97519,0.98322,0.97638,0.9806,0.37466,0.24474,2.87742,0,0.14099,0.767,0.00346956,0.00115652,0.00346956,0.00115652,0.00346956,0.00115652,0.00346956,0.00115652
215,130.477,0.32238,4.55612,0,0.22373,0.91196,0.99936,0.99444,0.995,0.9697,0.9882,0.98333,0.98741,0.37889,0.24522,2.7796,0,0.13526,0.76634,0.00345768,0.00115256,0.00345768,0.00115256,0.00345768,0.00115256,0.00345768,0.00115256
216,141.384,0.30905,4.39917,0,0.21416,0.90793,0.99447,0.9995,0.995,0.97045,0.98808,0.98333,0.98727,0.37551,0.24431,2.79966,0,0.13592,0.76646,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
217,152.244,0.31101,4.43403,0,0.21034,0.90308,0.99447,0.99945,0.995,0.96968,0.98749,0.98333,0.98789,0.38687,0.24456,2.78146,0,0.1318,0.76538,0.00343392,0.00114464,0.00343392,0.00114464,0.00343392,0.00114464,0.00343392,0.00114464
218,163.067,0.31207,4.45521,0,0.21189,0.91063,0.99872,0.99444,0.995,0.97697,0.97082,0.96667,0.97208,0.40146,0.23874,2.74758,0,0.14163,0.76321,0.00342204,0.00114068,0.00342204,0.00114068,0.00342204,0.00114068,0.00342204,0.00114068
219,174.06,0.32515,4.52252,0,0.21926,0.91501,0.99401,0.99444,0.995,0.97815,0.96623,0.96667,0.97551,0.40486,0.23973,2.80272,0,0.14395,0.76213,0.00341016,0.00113672,0.00341016,0.00113672,0.00341016,0.00113672,0.00341016,0.00113672
220,184.84,0.31833,4.39185,0,0.21731,0.90797,0.99952,0.99444,0.995,0.97572,0.97717,0.97222,0.98276,0.40103,0.24307,2.8007,0,0.14247,0.76595,0.00339828,0.00113276,0.00339828,0.00113276,0.00339828,0.00113276,0.00339828,0.00113276
221,195.456,0.31996,4.49495,0,0.21974,0.9137,0.99961,0.99444,0.995,0.97814,0.98844,0.98333,0.98943,0.4161,0.23951,2.74417,0,0.13559,0.76502,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
222,207.359,0.31089,4.4642,0,0.21287,0.91389,0.9995,0.99444,0.995,0.97401,0.98834,0.98333,0.98981,0.40354,0.24794,2.76634,0,0.14004,0.7692,0.00337452,0.00112484,0.00337452,0.00112484,0.00337452,0.00112484,0.00337452,0.00112484
223,218.985,0.31023,4.29814,0,0.21155,0.902,0.99958,0.99444,0.995,0.97398,0.98298,0.97778,0.98431,0.41603,0.24201,2.70943,0,0.14018,0.7645,0.00336264,0.00112088,0.00336264,0.00112088,0.00336264,0.00112088,0.00336264,0.00112088
224,230.839,0.31848,4.40143,0,0.21447,0.90627,0.99969,0.99444,0.995,0.97337,0.97751,0.97222,0.98074,0.40963,0.23742,2.69822,0,0.14422,0.76,0.00335076,0.00111692,0.00335076,0.00111692,0.00335076,0.00111692,0.00335076,0.00111692
